1,Girdlestone Walk,Tenant
2,Girdlestone Walk,Tenant
3,Girdlestone Walk,Leaseholder
4,Girdlestone Walk,Leaseholder
5,Girdlestone Walk,Leaseholder
6,Girdlestone Walk,Leaseholder
7,Girdlestone Walk,Tenant
8,Girdlestone Walk,Tenant
9,Girdlestone Walk,Tenant
10,Girdlestone Walk,Tenant
11,Girdlestone Walk,Tenant
12,Girdlestone Walk,Tenant
13,Girdlestone Walk,Tenant
14,Girdlestone Walk,Tenant
15,Girdlestone Walk,Leaseholder
16,Girdlestone Walk,Leaseholder
17,Girdlestone Walk,Tenant
18,Girdlestone Walk,Leaseholder
19,Girdlestone Walk,Tenant
20,Girdlestone Walk,Tenant
21,Girdlestone Walk,Tenant
22,Girdlestone Walk,Leaseholder
23,Girdlestone Walk,Leaseholder
24,Girdlestone Walk,Tenant
25,Girdlestone Walk,Leaseholder
26,Girdlestone Walk,Tenant
27,Girdlestone Walk,Tenant
28,Girdlestone Walk,Tenant
29,Girdlestone Walk,Tenant
30,Girdlestone Walk,Leaseholder
31,Girdlestone Walk,Tenant
32,Girdlestone Walk,Tenant
33,Girdlestone Walk,Tenant
34,Girdlestone Walk,Tenant
35,Girdlestone Walk,Tenant
36,Girdlestone Walk,Tenant
37,Girdlestone Walk,Tenant
38,Girdlestone Walk,Tenant
39,Girdlestone Walk,Leaseholder
40,Girdlestone Walk,Leaseholder
41,Girdlestone Walk,Tenant
42,Girdlestone Walk,Tenant
43,Girdlestone Walk,Leaseholder
44,Girdlestone Walk,Leaseholder
45,Girdlestone Walk,Leaseholder
46,Girdlestone Walk,Tenant
47,Girdlestone Walk,Tenant
48,Girdlestone Walk,Leaseholder
49,Girdlestone Walk,Tenant
50,Girdlestone Walk,Tenant
51,Girdlestone Walk,Tenant
52,Girdlestone Walk,Tenant
53,Girdlestone Walk,Leaseholder
54,Girdlestone Walk,Tenant
55,Girdlestone Walk,Leaseholder
56,Girdlestone Walk,Tenant
57,Girdlestone Walk,Leaseholder
58,Girdlestone Walk,Tenant
59,Girdlestone Walk,Tenant
60,Girdlestone Walk,Tenant
61,Girdlestone Walk,Tenant
62,Girdlestone Walk,Tenant
63,Girdlestone Walk,Tenant
